name,first_name,start_date_written,end_date_written,gender,place_of_birth,place_of_death,xml_id
Pittermann,Elisabeth,1946-02-03,,female,http://www.wikidata.org/entity/Q1741,,PAD_02888
Jarolím,Johannes,1954-12-27,,male,http://www.wikidata.org/entity/Q1741,,PAD_02889
Dunst,Verena,1958-02-07,,female,http://www.wikidata.org/entity/Q72,,PAD_02890
Kern,Christian,1966-01-04,,male,http://www.wikidata.org/entity/Q1741,,PAD_02941
Großruck,Wolfgang,1947-10-24,,male,http://www.wikidata.org/entity/Q256996,,PAD_02964
Faßmann,Heinz,1955-08-13,,male,http://www.wikidata.org/entity/Q1718,,PAD_02975
Kneissl,Karin,1965-01-18,,female,http://www.wikidata.org/entity/Q1741,,PAD_02976
Löger,Hartwig,1965-07-15,,male,http://www.wikidata.org/entity/Q676033,,PAD_02977
Schramböck,Margarete,1970-05-12,,female,http://www.wikidata.org/entity/Q699599,,PAD_02978
Edtstadler,Karoline,1981-03-28,,female,http://www.wikidata.org/entity/Q34713,,PAD_02979
Berger,Ricarda,1986-05-22,,female,http://www.wikidata.org/entity/Q1741,,PAD_02996
Ries,Christian,1972-01-20,,male,http://www.wikidata.org/entity/Q126321,,PAD_02997
